ACCE_ABSORB_COST	Κόστος συνδυασμού: %d
GUILD_SITE_TAX_INFO	Η Γη συντεχνίας θα εγκαταλειφθεί σε %s. Θα διαγραφούν όλα τα αντικείμενα στην αποθήκη συντεχνίας.
GUILD_TILE_BASEINFO	Στοιχεία γης
GUILD_TILE_BOARD	Σημειώσεις συντεχνίας
GUILD_TILE_GRADE	Διαχείριση δικαιωμάτων
GUILD_TILE_INFO	Πληροφορίες Συντεχνίας
GUILD_TILE_MEMBER	Μέλη
GUILD_TILE_SKILL	Ικανότητα Συντεχνίας
GUILD_USE_MASTER_ONLY	Μόνο ο αρχηγός της συντεχνίας έχει αυτό το δικαίωμα.
GUILD_VILLAGE_01	Miryang
GUILD_VILLAGE_02	Songpa
GUILD_VILLAGE_03	Daeyami
GUILD_WAR1	Περιοχή πολέμων συντεχνίας
GUILD_WAR2	Περιοχή πολέμων συντεχνίας
GUILD_WAR3	Περιοχή πολέμων συντεχνίας
GUILD_WAR4	Περιοχή πολέμων συντεχνίας
GUILD_WAR_GAINSCORE_FIFTY	50 πόντοι
GUILD_WAR_GAINSCORE_HUNDRED	100 πόντοι
GUILD_WAR_GAINSCORE_THIRTY	30 πόντοι
GUILD_WAR_GAMETIME_SIXTY	60 λεπτά
GUILD_WAR_GAMETIME_TEN	10 λεπτά
GUILD_WAR_GAMETIME_THIRTY	30 λεπτά
GUILD_WAR_LIMIT_30MIN	Χρόνος: 30 Λεπτά
GUILD_WAR_REWARD_POTION	Ανταμοιβή: Ο νικητής κερδίζει Φίλτρα
GUILD_WAR_SELECT_WAR	Επιλογή είδους μάχης
GUILD_WAR_TYPE_DEFENSE	Μάχη ασπίδων
GUILD_WAR_TYPE_DIE	Μάχη αρένας
GUILD_WAR_TYPE_FLAG	Μάχη σημαίας
GUILD_WAR_TYPE_NORMAL	Μάχη πεδίου
GUILD_WAR_TYPE_TIGER	Μάχη καταστροφής
GUILD_WAR_TYPE_TIME	Επίθεση χρόνου
GUILD_WAR_USE_BATTLE_MAP	Τόπος: Αρένα πολέμων συντεχνιών
GUILD_WAR_USE_NORMAL_MAP	Τόπος: Κανονικός χάρτης
GUILD_WAR_WIN_CHECK_SCORE	Η συντεχνία με τις περισσότερες νίκες κερδίζει τον πόλεμο.
GUILD_WAR_WIN_FIVE	Πέντε γύροι
GUILD_WAR_WIN_ONE	Ένας γύρος
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	’ρπαξε την σημαία του εχθρού
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	και πήγαινέ την στην βάση σου.
GUILD_WAR_WIN_THREE	Τρεις γύροι
GUILD_WAR_WIN_WIPE_OUT_GUILD	Νίκησε όλους τους εχθρούς για να κερδίσεις.
GUILD_WITHDRAW	Υποχώρηση
GUILD_YOU_DO_NOT_JOIN	Δεν είσαι μέλος Συντεχνίας.
HACK_USER_MESSAGE	Αυτή η λειτουργία δεν είναι διαθέσιμη, επειδή ανιχνεύτηκε ένα πρόγραμμα hack.
HORSE_HEALTH0	Νεκρό
HORSE_HEALTH1	Πολύ πεινασμένο
HORSE_HEALTH2	Πεινασμένο
HORSE_HEALTH3	Χορτάτο
HORSE_LEVEL1	Κανονικό άλογο
HORSE_LEVEL2	’λογο μάχης
HORSE_LEVEL3	Στρατιωτικό άλογο
HORSE_LEVEL4	Ισχυρό ’λογο Μάχης
HOUR	Ώρ.
HOW_MANY_ITEM_DO_YOU_DROP1	Θέλεις να πετάξεις το αντικείμενο %s;
HOW_MANY_ITEM_DO_YOU_DROP2	Θέλεις να πετάξεις %s %d;
ICECREAM_EVENT_EXCHANGE_SCOOP_SUCCESS	Μετέφερες %d Μπάλες παγωτού στο νέο μενού event.
ICECREAM_EVENT_GET_SCOOP	Απέκτησες μια Μπάλα παγωτού.
ICECREAM_EVENT_SCOOP_MAX_COUNT	Δεν μπορείς να αποκτήσεις άλλες Μπάλες παγωτού.
INPUT_MATRIX_CARD_NUMBER	Εισάγαγε αριθμό Matrix Card
INPUT_MATRIX_CARD_TITLE	Matrix Card
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Είσαγε τον κώδικα που δημιούργησες στη Διοίκηση Λογαριασμού, εδώ.
INPUT_PRIVATE_CODE_DIALOG_TITLE	Διαγραφή χαρακτήρα
INVENTORY_DO_NOT_PACK_WARP_SCROLL	Αυτός ο Πάπυρος δεν μπορεί να συνδυαστεί.
INVENTORY_REALLY_USE_ITEM	Να χρησιμοποιηθεί το αντικείμενο επάνω σε αυτό;
INVENTORY_REALLY_USE_ITEM2	Θέλεις πραγματικά να χρησιμοποιήσεις αυτό το αντικείμενο;
INVENTORY_REALLY_USE_PET_BAG_ITEM	Θέλεις πραγματικά να βάλεις το κατοικίδιό σου στο Μεταφορικό κουτί;
INVENTORY_REALLY_USE_PET_BAG_TAKE_OUT	Θέλεις να ανοίξεις ένα Μεταφορικό κουτί;
INVENTORY_REALLY_USE_PET_FEEDSTUFF_ITEM	Θέλεις να δώσεις το %s στο %s;
IS_NOT_PET_CHANGE_ITEM	Αυτό δεν είναι το αντικείμενο «Μάγεμα κατοικιδίου».
IS_NOT_PET_ITEM	Αυτό δεν είναι κατοικίδιο.
JOB_ASSASSIN	Νίντζα
JOB_ASSASSIN0	Κενό
JOB_ASSASSIN1	Νίντζα εξ επαφής
JOB_ASSASSIN2	Νίντζα εξ αποστάσεως
JOB_SHAMAN	Σαμάνος
JOB_SHAMAN0	Κενό
JOB_SHAMAN1	Δρακοσαμάνος
JOB_SHAMAN2	Ιατροσαμάνος
JOB_SURA	Sura
JOB_SURA0	Κενό
JOB_SURA1	Sura Όπλων
JOB_SURA2	Sura Μαγείας
JOB_WARRIOR	Πολεμιστής
JOB_WARRIOR0	Κενό
JOB_WARRIOR1	Σωματοπολεμιστής
JOB_WARRIOR2	Πνευματοπολεμιστής
JOB_WOLFMAN	Λυκανός
JOB_WOLFMAN0	Ερασιτέχνης Λυκανός
JOB_WOLFMAN1	Ένστικτο
JOB_WOLFMAN2	N.A.
KEYCHANGE_DONT_SAVE_EXIT	Κλείσιμο χωρίς αποθήκευση;
KEYCHANGE_IMPOSSIBLE_CHANGE	Δεν επιτρέπονται εδώ: [CTRL], [ALT], [SHIFT]!
KEYCHANGE_SAVE_EXIT	Αποθήκευση και κλείσιμο;
KEY_0	0
KEY_0_LALT	ALT + 0
KEY_0_LCONTROL	CTRL + 0
KEY_0_LSHIFT	SHIFT + 0
KEY_1	1
KEY_1_LALT	ALT + 1
KEY_1_LCONTROL	CTRL + 1
KEY_1_LSHIFT	SHIFT + 1
KEY_2	2
KEY_2_LALT	ALT + 2
KEY_2_LCONTROL	CTRL + 2
KEY_2_LSHIFT	SHIFT + 2
KEY_3	3
KEY_3_LALT	ALT + 3
KEY_3_LCONTROL	CTRL + 3
KEY_3_LSHIFT	SHIFT + 3
KEY_4	4
KEY_4_LALT	ALT + 4
KEY_4_LCONTROL	CTRL + 4
KEY_4_LSHIFT	SHIFT + 4
KEY_5	5
KEY_5_LALT	ALT + 5
KEY_5_LCONTROL	CTRL + 5
KEY_5_LSHIFT	SHIFT + 5
KEY_6	6
KEY_6_LALT	ALT + 6
KEY_6_LCONTROL	CTRL + 6
KEY_6_LSHIFT	SHIFT + 6
KEY_7	7
KEY_7_LALT	ALT + 7
KEY_7_LCONTROL	CTRL + 7
KEY_7_LSHIFT	SHIFT + 7
KEY_8	8
KEY_8_LALT	ALT + 8
KEY_8_LCONTROL	CTRL + 8
KEY_8_LSHIFT	SHIFT + 8
KEY_9	9
KEY_9_LALT	ALT + 9
KEY_9_LCONTROL	CTRL + 9
KEY_9_LSHIFT	SHIFT + 9
KEY_A	A
KEY_ADD	+
KEY_A_LALT	ALT + A
KEY_A_LCONTROL	CTRL + Α
KEY_A_LSHIFT	SHIFT + Α
KEY_B	Β
KEY_B_LALT	ALT + Β
KEY_B_LCONTROL	CTRL + Β
KEY_B_LSHIFT	SHIFT + Β
KEY_C	Ψ
KEY_COMMA	,
KEY_COMMA_LALT	ALT + ,
KEY_COMMA_LCONTROL	CTRL + ,
KEY_COMMA_LSHIFT	SHIFT + ,
KEY_C_LALT	ALT + Ψ
KEY_C_LCONTROL	CTRL + Ψ
KEY_C_LSHIFT	SHIFT + Ψ
KEY_D	Δ
KEY_DOWN	ΚΑΤΩ
KEY_D_LALT	ALT + Δ
KEY_D_LCONTROL	CTRL + Δ
KEY_D_LSHIFT	SHIFT + Δ
KEY_E	E
KEY_E_LALT	ALT + Ε
KEY_E_LCONTROL	CTRL + E
KEY_E_LSHIFT	SHIFT + Ε
KEY_F	Φ
KEY_F1	F1
KEY_F1_LALT	ALT + F1
KEY_F1_LCONTROL	CTRL + F1
KEY_F1_LSHIFT	SHIFT + F1
KEY_F2	F2
KEY_F2_LALT	ALT + F2
KEY_F2_LCONTROL	CTRL + F2
KEY_F2_LSHIFT	SHIFT + F2
KEY_F3	F3
KEY_F3_LALT	ALT + F3
KEY_F3_LCONTROL	CTRL + F3
KEY_F3_LSHIFT	SHIFT + F3
KEY_F4	F4
KEY_F4_LALT	ALT + F4
KEY_F4_LCONTROL	CTRL + F4
KEY_F4_LSHIFT	SHIFT + F4
KEY_F5	F5
KEY_F5_LALT	ALT + F5
KEY_F5_LCONTROL	CTRL + F5
KEY_F5_LSHIFT	SHIFT + F5
KEY_F6	F6
KEY_F6_LALT	ALT + F6
KEY_F6_LCONTROL	CTRL + F6
KEY_F6_LSHIFT	SHIFT + F6
KEY_F7	F7
KEY_F7_LALT	ALT + F7
KEY_F7_LCONTROL	CTRL + F7
KEY_F7_LSHIFT	SHIFT + F7
KEY_F8	F8
KEY_F8_LALT	ALT + F8
KEY_F8_LCONTROL	CTRL + F8
KEY_F8_LSHIFT	SHIFT + F8
KEY_F9	F9
KEY_F9_LALT	ALT + F9
KEY_F9_LCONTROL	CTRL + F9
KEY_F9_LSHIFT	SHIFT + F9
KEY_F10	F10
KEY_F10_LALT	ALT + F10
KEY_F10_LCONTROL	CTRL + F10
KEY_F10_LSHIFT	SHIFT + F10
KEY_F_LALT	ALT + Φ
KEY_F_LCONTROL	CTRL + Φ
KEY_F_LSHIFT	SHIFT + Φ
KEY_G	Γ
KEY_GRAVE	`
KEY_GRAVE_LALT	ALT + `
KEY_GRAVE_LCONTROL	CTRL + `
KEY_GRAVE_LSHIFT	SHIFT + `
KEY_G_LALT	ALT + Γ
KEY_G_LCONTROL	CTRL + Γ
KEY_G_LSHIFT	SHIFT + Γ
KEY_H	Η
KEY_H_LALT	ALT + Η
KEY_H_LCONTROL	CTRL + Η
KEY_H_LSHIFT	SHIFT + Η
KEY_I	I
KEY_I_LALT	ALT + Ι
KEY_I_LCONTROL	CTRL + Ι
KEY_I_LSHIFT	SHIFT + Ι
KEY_J	Ξ
KEY_J_LALT	ALT + Ξ
KEY_J_LCONTROL	CTRL + Ξ
KEY_J_LSHIFT	SHIFT + Ξ
KEY_K	K
KEY_K_LALT	ALT + Κ
KEY_K_LCONTROL	CTRL + Κ
KEY_K_LSHIFT	SHIFT + Κ
KEY_L	Λ
KEY_LALT	ALT
KEY_LCONTROL	CTRL
KEY_LEFT	ΑΡΙΣΤΕΡΑ
KEY_LSHIFT	SHIFT
KEY_L_LALT	ALT + Λ
KEY_L_LCONTROL	CTRL + Λ
KEY_L_LSHIFT	SHIFT + Λ
KEY_M	Μ
KEY_M_LALT	ALT + Μ
KEY_M_LCONTROL	CTRL + Μ
KEY_M_LSHIFT	SHIFT + Μ
KEY_N	Ν
KEY_NUMLOCK	NUM
KEY_NUMPAD0	NUM 0
KEY_NUMPAD1	NUM 1
KEY_NUMPAD2	NUM 2
KEY_NUMPAD3	NUM 3
KEY_NUMPAD4	NUM 4
KEY_NUMPAD5	NUM 5
KEY_NUMPAD6	NUM 6
KEY_NUMPAD7	NUM 7
KEY_NUMPAD8	NUM 8
KEY_NUMPAD9	NUM 9
KEY_N_LALT	ALT + Ν
KEY_N_LCONTROL	CTRL + Ν
KEY_N_LSHIFT	SHIFT + Ν
KEY_O	Ο
KEY_O_LALT	ALT + Ο
KEY_O_LCONTROL	CTRL + Ο
KEY_O_LSHIFT	SHIFT + Ο
KEY_P	Π
KEY_PERIOD	.
KEY_PERIOD_LALT	ALT + .
KEY_PERIOD_LCONTROL	CTRL + .
KEY_PERIOD_LSHIFT	SHIFT + .
KEY_PGDN	PgDn
KEY_PGUP	PgUp
KEY_P_LALT	ALT + Π
KEY_P_LCONTROL	CTRL + Π
KEY_P_LSHIFT	SHIFT + Π
KEY_Q	;
KEY_Q_LALT	ALT + ;
KEY_Q_LCONTROL	CTRL + ;
KEY_Q_LSHIFT	SHIFT + ;
KEY_R	Ρ
KEY_RIGHT	ΔΕΞΙΑ
KEY_R_LALT	ALT + Ρ
KEY_R_LCONTROL	CTRL + Ρ
KEY_R_LSHIFT	SHIFT + Ρ
KEY_S	Σ
KEY_SPACE	ΚΕΝΟ
KEY_SUBTRACT	-
KEY_SYSRQ	PRINT
KEY_S_LALT	ALT + Σ
KEY_S_LCONTROL	CTRL + Σ
KEY_S_LSHIFT	SHIFT + Σ
KEY_T	T
KEY_TAB	TAB
KEY_T_LALT	ALT + Τ
KEY_T_LCONTROL	CTRL + Τ
KEY_T_LSHIFT	SHIFT + Τ
KEY_U	Θ
KEY_UP	ΕΠΑΝΩ
KEY_U_LALT	ALT + Θ
KEY_U_LCONTROL	CTRL + Θ
KEY_U_LSHIFT	SHIFT + Θ
KEY_V	Ω
KEY_V_LALT	ALT + Ω
KEY_V_LCONTROL	CTRL + Ω
KEY_V_LSHIFT	SHIFT + Ω
KEY_W	ς
KEY_W_LALT	ALT + ς
KEY_W_LCONTROL	CTRL + ς
KEY_W_LSHIFT	SHIFT + ς
KEY_X	X
KEY_X_LALT	ALT + Χ
KEY_X_LCONTROL	CTRL + Χ
KEY_X_LSHIFT	SHIFT + Χ
KEY_Y	Υ
KEY_Y_LALT	ALT + Υ
KEY_Y_LCONTROL	CTRL + Υ
KEY_Y_LSHIFT	SHIFT + Υ
KEY_Z	Ζ
KEY_Z_LALT	ALT + Ζ
KEY_Z_LCONTROL	CTRL + Ζ
KEY_Z_LSHIFT	SHIFT + Ζ
LEADER_NAME	Όνομα Αρχηγού
LEFT_TIME	Υπόλ. Χρόνος
LIMIT_LEVEL_GUILD	Επίπεδο Συντεχνίας: %d
LOGIN_CONNECT_FAILURE	Σφάλμα κατά τη σύνδεση με τον σέρβερ.
LOGIN_CONNECT_SUCCESS	Συνδέθηκες με τον σέρβερ.
LOGIN_CONNETING	Περίμενε. Συνδέεσαι με το διακομιστή.
LOGIN_FAILURE_ALREAY	Ο Λογαριασμός σου είναι ήδη συνδεδεμένος!
LOGIN_FAILURE_BACKEND_ERR	Παρουσιάστηκε σφάλμα. Παρακαλούμε, επικοινώνησε με την Υποστήριξη.
LOGIN_FAILURE_BE_SAME_KEY	Πρόβλημα σύνδεσης
LOGIN_FAILURE_BLOCK_ID	Αυτός ο Λογαριασμός έχει αποκλειστεί.
LOGIN_FAILURE_BLOCK_LOGIN	Κλειστός σέρβερ: Παρακαλώ διαλέξτε έναν άλλο σέρβερ.
LOGIN_FAILURE_COUNTRY_ERR	Ο κωδικός χώρας είναι λανθασμένος.\nΠαρακαλούμε, επικοινώνησε με την Υποστήριξη.
LOGIN_FAILURE_INTEGRTING	Αυτός ο λογαριασμός συγχωνεύεται. Παρακαλούμε δοκίμασε ξανά αργότερα.
LOGIN_FAILURE_IOVATION_ERR	Ενεργοποίησε τον Έλεγχο ταυτότητας δύο παραγόντων για να μπεις σε αυτόν τον σέρβερ.
LOGIN_FAILURE_NOBILL	Ο Λογαριασμός σου δεν έχει χρόνο παιχνιδιού.
LOGIN_FAILURE_NOT_AVAIL	Ο Λογαριασμός δεν είναι διαθέσιμος.
LOGIN_FAILURE_NOT_EXIST_ID	Λάθος λογαριασμός ή κωδικός.
LOGIN_FAILURE_NOT_MAIL_CONFIRM	Απαιτείται επαλήθευση μέσω email.
LOGIN_FAILURE_REPAIR_ID	Σε αυτόν το Λογαριασμό αποκαθίστανται αντικείμενα.
LOGIN_FAILURE_SAMELOGIN	Κάποιος συνδέθηκε με το Λογαριασμό σου.
LOGIN_FAILURE_SERVER_GRADE	Αυτός είναι ένας αποκλειστικός σέρβερ, στον οποίο δεν έχει πρόσβαση αυτός ο λογαριασμός.
LOGIN_FAILURE_SHUTDOWN	Ο σέρβερ δεν έχει ανοίξει ακόμη.
LOGIN_FAILURE_STEAM_SESSION	Σύνδεση μεταφερμένων λογαριασμών/Νέα εγγραφή αδύνατη.
LOGIN_FAILURE_TNT_SESSION	Το άνοιγμα του client δεν είναι δυνατό. Παρακαλούμε ξεκίνα ξανά το launcher και συνδέσου.
LOGIN_FAILURE_TOO_MANY_USER	Δεν μπορείς να συνδεθείς, γιατί είναι συνδεδεμένοι πάρα πολλοί παίκτες.
LOGIN_FAILURE_UNKNOWN	Δεν μπόρεσες να εγγραφείς για άγνωστη αιτία.
LOGIN_FAILURE_WEB_BLOCK	Έχεις αποκλειστεί από την Ιστοσελίδα. Παρακαλούμε έλεγξε τα e-mail σου.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER	Εισήγαγες λάθος αριθμό.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER_TRIPLE	Εισήγαγες λάθος αριθμό τρεις φορές. /n Η σύνδεσή σου τερματίζεται.
LOGIN_FAILURE_WRONG_PASSWORD	Λάθος λογαριασμός ή κωδικός.
LOGIN_INPUT_ID	Εισάγαγε το ID.
LOGIN_INPUT_PASSWORD	Εισάγαγε το συνθηματικό.
LOGIN_PROCESSING	Γίνεται εγγραφή...
LOOTING_SYSTEM_CANNOT_OPEN_MAP	Αυτό δεν μπορεί να ανοίξει εδώ.
LOOTING_TICKET_DURATION	Υπόλοιπος χρόνος: %s
LUCKY_BOX_DIALOG_RECV_TEXT	Θέλεις να αποδεχτείς το αντικείμενο;
LUCKY_BOX_DIALOG_RETRY_TEXT	Θέλεις να δοκιμάσεις ξανά την τύχη σου;
MAILBOX_FAIL_USE_TIME_LIMIT	Η θυρίδα ανανεώνεται. Παρακαλούμε δοκίμασε ξανά αργότερα.
MAILBOX_POST_ALL_DELETE_FAIL_EMPTY	Κανένα μήνυμα
MAILBOX_POST_ALL_DELETE_QUESTION1	Διαγραφή όλων των μηνυμάτων;
MAILBOX_POST_ALL_DELETE_QUESTION2	Τα μηνύματα με συνημμένα αρχεία δεν θα διαγραφούν.
MAILBOX_POST_ALL_GET_ITEMS_FAIL_EMPTY	Δεν έχεις μηνύματα με συνημμένα αρχεία στη θυρίδα.
MAILBOX_POST_ALL_GET_ITEMS_QUESTION	Αποδοχή συνημμένου αρχείου; (Μείον 5% φόρους για Yang)
MAILBOX_POST_DELETE_FAIL_EXIST_ITEMS	Το μήνυμα δεν μπόρεσε να διαγραφεί. Δέξου πρώτα το συνημμένο αρχείο του.
MAILBOX_POST_DELETE_QUESTION	Θέλεις πραγματικά να διαγράψεις αυτό το μήνυμα;
MAILBOX_POST_GET_ITEMS_NOT_ENOUGHT_INVENTORY	Δεν μπόρεσες να δεχτείς τα αντικείμενα. Ο κατάλογός σου είναι γεμάτος.
MAILBOX_POST_GET_ITEMS_QUESTION	Αποδοχή συνημμένου αρχείου; (Μείον 5% φόρους για Yang)
MAILBOX_POST_GET_ITEMS_WON_OVERFLOW	Δεν μπορείς να αποδεχτείς άλλα Won.
MAILBOX_POST_GET_ITEMS_YANG_OVERFLOW	Δεν μπορείς να αποδεχτείς άλλα Yang.
MAILBOX_POST_GM_ARRIVE	Μήνυμα GM
MAILBOX_POST_NOT_CONFIRM_INFO_1	Μη αναγνωσμένα μηνύματα: %d
MAILBOX_POST_NOT_CONFIRM_INFO_2	Χωρίς συνημμένα: %d / Με συνημμένα: %d
MAILBOX_POST_READ_BLOCK	Σίγουρα θέλεις να αποκλείσεις τον %s;
MAILBOX_POST_WRITE_ALREADY_ITEM	Μπορείς να στέλνεις μόνο ένα αντικείμενο ανά μήνυμα.
MAILBOX_POST_WRITE_CAN_NOT_SPLIT_ITEM	Βάλε τον διαιρεμένο σωρό πρώτα στον κατάλογό σου, για να τον συνάψεις σε ένα μήνυμα.
MAILBOX_POST_WRITE_CONFIRM_FAIL	’γνωστος παραλήπτης Το μήνυμα δεν στάλθηκε.
MAILBOX_POST_WRITE_CONFIRM_FULL_MAILBOX	Η θυρίδα του παραλήπτη είναι γεμάτη. Το μήνυμα δεν στάλθηκε.
MAILBOX_POST_WRITE_LEVEL_LIMIT	Μπορείς να στέλνεις μηνύματα από το επίπεδο 20.
MAILBOX_POST_WRITE_MONEY_NOT_ENOUGHT	Δεν έχεις αρκετά Yang για να στείλεις αυτό το μήνυμα.
MAILBOX_POST_WRITE_NAME_CHECK	Επιβεβαίωσε το όνομα του παραλήπτη με κλικ στο «Έλεγχος παραλήπτη».
MAILBOX_POST_WRITE_NAME_EMPTY	Πληκτρολόγησε έναν παραλήπτη.
MAILBOX_POST_WRITE_OK	Το μήνυμα στάλθηκε επιτυχώς.
MAILBOX_POST_WRITE_QUESTION1	Θέλεις να στείλεις τώρα το μήνυμα στον %s;
MAILBOX_POST_WRITE_QUESTION2	Τέλος παράδοσης: %d Yang
MAILBOX_POST_WRITE_SEND_FAIL_EMPTY_NAME	Πληκτρολόγησε έναν παραλήπτη.
MAILBOX_POST_WRITE_SEND_FAIL_EMPTY_TITLE	Πληκτρολόγησε ένα θέμα.
MAILBOX_POST_WRITE_SEND_MONEY_TITLE	Χρηματικό ποσό
MAILBOX_POST_WRITE_WRONG_ITEM	Δεν μπορείς να στέλνεις ψυχικά δεμένα αντικείμενα.
MAILBOX_POST_WRITE_WRONG_MESSAGE	Το μήνυμα περιέχει μη επιτρεπτές λέξεις.
MAILBOX_POST_WRITE_WRONG_TITLE	Το θέμα περιέχει μη επιτρεπτές λέξεις.
MALL_CANNOT_INSERT	Δεν μπορείς να τοποθετήσεις το Αντικείμενο.
MALL_PASSWORD_TITLE	Συνθηματικό
MAP_A1	Περιοχή Yongan
MAP_A2	Κοιλάδα του Seungryong
MAP_A2_1	
MAP_A3	Περιοχή Yayang
MAP_AG	Jungrang
MAP_B1	Περιοχή Joan
MAP_B2	Κοιλάδα του Imji
MAP_B3	Περιοχή Bokjung
MAP_BATTLE_FIELD	Ζώνη μάχης
MAP_BATTLE_ROYALE	Battle Royale
MAP_BAY	Κόλπος Νεφρίτη
MAP_BAYBLACKSAND	Κόλπος Νεφρίτη
MAP_BG	Waryong
MAP_BOSS_AWAKEN_DAWNMIST	ΑΦ: Μαγεμένο Δάσος
MAP_BOSS_AWAKEN_FLAME	ΑΦ: Φρούριο Κοκκινοδράκων
MAP_BOSS_AWAKEN_SKIPIA	ΑΦ: Σπηλιά της Εξορίας
MAP_BOSS_AWAKEN_SNOW	ΑΦ: Φυλάκιο του Nemere
MAP_BOSS_CRACK_DAWNMIST	ΡΧ: Μαγεμένο Δάσος
MAP_BOSS_CRACK_FLAME	ΡΧ: Φρούριο Κοκκινοδράκων
MAP_BOSS_CRACK_SKIPIA	ΡΧ: Σπηλιά της Εξορίας
MAP_BOSS_CRACK_SNOW	ΡΧ: Φυλάκιο του Nemere
MAP_BOSS_LABYRINTH	Οροπέδιο Ψευδαισθήσεων
MAP_C1	Περιοχή Pyungmoo
MAP_C2	Κοιλάδα του Bangsan
MAP_C3	Περιοχή Bakra
MAP_CAPE	Ακρωτήρι της Δρακοφωτιάς
MAP_CAPEDRAGONHEAD	Ακρωτήρι της Δρακοφωτιάς
MAP_CG	Imha
MAP_CZ_DUNGEON	Ζωδιακός Ναός
MAP_DAWN	Βράχος Γκαουτάμα
MAP_DAWNMISTWOOD	Βράχος Γκαουτάμα
MAP_DAWNMIST_DUNGEON_01	Μαγεμένο Δάσος
MAP_DEFENSE_WAVE	’μυνα πλοίου
MAP_DEFENSE_WAVE_PORT	Λιμάνι
MAP_DESERT	Έρημος Yongbi
MAP_DEVILCATACOMB	Κατακόμβη του Διαβόλου
MAP_DEVILTOWER1	Δαιμονικός Πύργος
MAP_DUEL	Αρένα για αγώνες κατάρτισης
MAP_E	Αποικία
MAP_EASTPLAIN_01	Πεδιάδα Dongan
MAP_EASTPLAIN_02	Ερημιά Seogan
MAP_EASTPLAIN_03	Χάσμα Namgan
MAP_ELEMENTAL_DUNGEON	Στοιχειακός Κόσμος
MAP_ELEMENTAL_DUNGEON_DARK	Στοιχειακός Κόσμος (Σκοτάδι)
MAP_ELEMENTAL_DUNGEON_ELECTRICITY	Στοιχειακός Κόσμος (Αστραπή)
MAP_ELEMENTAL_DUNGEON_FIRE	Στοιχειακός Κόσμος (Φωτιά)
MAP_EMPIRECASTLE	Εγκαταλειμμένο φρούριο
MAP_EMPIREWAR01	Μάχη κάστρων
MAP_EMPIREWAR02	Μάχη κάστρων
MAP_EMPIREWAR03	Μάχη κάστρων
MAP_FARMING_DUNGEON	Μυστηριώδες μπουντρούμι
MAP_FLAME	Doyyumhwan
MAP_GUILD_01	Jungrang
MAP_GUILD_02	Waryong
MAP_GUILD_03	Imha
MAP_GUILD_PVE	Παλάτι του Βασιλιά Δράκων
MAP_HOLYPLACE_DESERT	Μάχη των Βασιλείων - Έρημος
MAP_HOLYPLACE_FLAME	Μάχη των Βασιλείων - Γη του Πυρός
MAP_HOLYPLACE_ICE	Μάχη των Βασιλείων - Γη των Πάγων
MAP_ICE_CRYSTALS_CAVE	Χαράδρα Βορείου Ανέμου
MAP_MAZE_DUNGEON_01	Σπηλιές Γκνολλ Επίπεδο 1
MAP_MAZE_DUNGEON_02	Σπηλιές Γκνολλ Επίπεδο 2
MAP_MAZE_DUNGEON_03	Σπηλιές Γκνολλ Επίπεδο 3
MAP_MILGYO	Ναός Hwang
MAP_MILGYO_A	
MAP_MINIBOSS_01	Μπλε μπουντρούμι - Επ. 40-80
