ACCE_ABSORB_COST	Coûts de combi : %d
LOOTING_TICKET_DURATION	Temps restant : %s
LUCKY_BOX_DIALOG_RECV_TEXT	Souhaitez-vous accepter l'objet ?
LUCKY_BOX_DIALOG_RETRY_TEXT	Souhaitez-vous retenter votre chance ?
MAILBOX_FAIL_USE_TIME_LIMIT	La boîte aux lettres est en cours d'actualisation. Merci de réessayer plus tard.
MAILBOX_POST_ALL_DELETE_FAIL_EMPTY	Pas de messages
MAILBOX_POST_ALL_DELETE_QUESTION1	Supprimer tous les messages ?
MAILBOX_POST_ALL_DELETE_QUESTION2	Les messages avec pièce jointe ne sont pas supprimés.
MAILBOX_POST_ALL_GET_ITEMS_FAIL_EMPTY	Vous n'avez pas de message avec pièce jointe dans la boîte aux lettres.
MAILBOX_POST_ALL_GET_ITEMS_QUESTION	Accepter la pièce jointe ? (5 % de taxes sur les Yangs)
MAILBOX_POST_DELETE_FAIL_EXIST_ITEMS	Le message n'a pas pu être supprimé. Acceptez d'abord la pièce jointe.
MAILBOX_POST_DELETE_QUESTION	Souhaitez-vous vraiment supprimé ce message ?
MAILBOX_POST_GET_ITEMS_NOT_ENOUGHT_INVENTORY	Les objets n'ont pas pu être acceptés. Votre inventaire est plein.
MAILBOX_POST_GET_ITEMS_QUESTION	Accepter la pièce jointe ? (5 % de taxes sur les Yangs)
MAILBOX_POST_GET_ITEMS_WON_OVERFLOW	Vous ne pouvez plus accepter de Wons.
MAILBOX_POST_GET_ITEMS_YANG_OVERFLOW	Vous ne pouvez plus accepter de Yangs.
MAILBOX_POST_GM_ARRIVE	Message de GM
MAILBOX_POST_NOT_CONFIRM_INFO_1	Messages non lus : %d
MAILBOX_POST_NOT_CONFIRM_INFO_2	Sans pièce jointe : %d/avec pièce jointe : %d
MAILBOX_POST_READ_BLOCK	Voulez-vous vraiment bloquer %s ?
MAILBOX_POST_WRITE_ALREADY_ITEM	Vous pouvez envoyer un seul objet par message.
MAILBOX_POST_WRITE_CAN_NOT_SPLIT_ITEM	Déposez séparément votre cumul dans l'inventaire avant de le joindre à un message.
MAILBOX_POST_WRITE_CONFIRM_FAIL	Le destinataire est inconnu. Le message ne peut être envoyé.
MAILBOX_POST_WRITE_CONFIRM_FULL_MAILBOX	La boîte aux lettres du destinataire est pleine. Le message ne peut être envoyé.
MAILBOX_POST_WRITE_LEVEL_LIMIT	Vous pouvez envoyer des messages à partir du niveau 20.
MAILBOX_POST_WRITE_MONEY_NOT_ENOUGHT	Vous n'avez pas assez de Yangs pour envoyer ce message.
MAILBOX_POST_WRITE_NAME_CHECK	Confirmez le nom du destinataire en cliquant sur [Vérifier le destinataire].
MAILBOX_POST_WRITE_NAME_EMPTY	Saisissez un destinataire.
MAILBOX_POST_WRITE_OK	Le message a été envoyé.
MAILBOX_POST_WRITE_QUESTION1	Souhaitez-vous envoyer le message à %s maintenant ?
MAILBOX_POST_WRITE_QUESTION2	Frais de livraison : %d Yangs
MAILBOX_POST_WRITE_SEND_FAIL_EMPTY_NAME	Saisissez un destinataire.
MAILBOX_POST_WRITE_SEND_FAIL_EMPTY_TITLE	Saisissez un objet.
MAILBOX_POST_WRITE_SEND_MONEY_TITLE	Somme
MAILBOX_POST_WRITE_WRONG_ITEM	Vous ne pouvez pas envoyer d'objets liés à l'âme.
MAILBOX_POST_WRITE_WRONG_MESSAGE	Ce message contient des mots non autorisés.
MAILBOX_POST_WRITE_WRONG_TITLE	Cet objet contient des mots non autorisés.
MALL_CANNOT_INSERT	Vous ne pouvez placer cet objet.
MALL_PASSWORD_TITLE	Mot de passe
MAP_A1	Zone Yongan
MAP_A2	Vallée de Seungryong
MAP_A2_1	
MAP_A3	Zone Jayan
MAP_AG	Jungrang
MAP_B1	Zone Joan
MAP_B2	Vallée d'Imji
MAP_B3	Zone Bokjung
MAP_BATTLE_FIELD	Zone de combat
MAP_BATTLE_ROYALE	Battle Royale
MAP_BAY	Baie de Néphrite
MAP_BAYBLACKSAND	Baie de Néphrite
MAP_BG	Waryong
MAP_BOSS_AWAKEN_DAWNMIST	ÉV : Forêt enchantée
MAP_BOSS_AWAKEN_FLAME	ÉV : Forteresse du dragon rouge
MAP_BOSS_AWAKEN_SKIPIA	ÉV : Grotte de l'exil
MAP_BOSS_AWAKEN_SNOW	ÉV : Observatoire de Nemere
MAP_BOSS_CRACK_DAWNMIST	ST : Forêt enchantée
MAP_BOSS_CRACK_FLAME	ST : Forteresse du dragon rouge
MAP_BOSS_CRACK_SKIPIA	ST : Grotte de l'exil
MAP_BOSS_CRACK_SNOW	ST : Observatoire de Nemere
MAP_BOSS_LABYRINTH	Plateau des illusions
MAP_C1	Zone Pyungmoo
MAP_C2	Vallée de Bangsan
MAP_C3	Zone Bakra
MAP_CAPE	Cap du Feu dragonesque
MAP_CAPEDRAGONHEAD	Cap du Feu dragonesque
MAP_CG	Imha
MAP_CZ_DUNGEON	Temple du zodiaque
MAP_DAWN	Falaise de Gautama
MAP_DAWNMISTWOOD	Falaise de Gautama
MAP_DAWNMIST_DUNGEON_01	Forêt enchantée
MAP_DEFENSE_WAVE	Défense du navire
MAP_DEFENSE_WAVE_PORT	Port
MAP_DESERT	Désert de Yongbi
MAP_DEVILCATACOMB	Catacombes du diable
MAP_DEVILTOWER1	Tour des démons
MAP_DUEL	Arène d'entraînement
MAP_E	Colonie
MAP_EASTPLAIN_01	Niveau Dongan
MAP_EASTPLAIN_02	Désert Seogan
MAP_EASTPLAIN_03	Abîme Namgan
MAP_ELEMENTAL_DUNGEON	Monde élémentaire
MAP_ELEMENTAL_DUNGEON_DARK	Monde élémentaire (obscurité)
MAP_ELEMENTAL_DUNGEON_ELECTRICITY	Monde élémentaire (éclair)
MAP_ELEMENTAL_DUNGEON_FIRE	Monde élémentaire (feu)
MAP_EMPIRECASTLE	Forteresse désolée
MAP_EMPIREWAR01	Bataille pour le château
MAP_EMPIREWAR02	Bataille pour le château
MAP_EMPIREWAR03	Bataille pour le château
MAP_FARMING_DUNGEON	Donjon mystérieux
MAP_FLAME	Doyyumhwan
MAP_GUILD_01	Jungrang
MAP_GUILD_02	Waryong
MAP_GUILD_03	Imha
MAP_GUILD_PVE	Palais du roi dragon
MAP_HOLYPLACE_DESERT	Bataille des empires : Terre du Désert
MAP_HOLYPLACE_FLAME	Bataille des empires : Terre de Feu
MAP_HOLYPLACE_ICE	Bataille des empires : Terre Glaciaire
MAP_ICE_CRYSTALS_CAVE	Ravin d'Aquilon
MAP_MAZE_DUNGEON_01	Grotte gnolle niveau 1
MAP_MAZE_DUNGEON_02	Grotte gnolle niveau 2
MAP_MAZE_DUNGEON_03	Grotte gnolle niveau 3
MAP_MILGYO	Temple de Hwang
MAP_MILGYO_A	
MAP_MINIBOSS_01	Donjon bleu : niveau 40 à 80
MAP_MINIBOSS_02	Donjon rouge : à partir du niveau 81
MAP_MISTS_OF_ISLAND	Île brumeuse
MAP_MONKEY_DUNGEON	Hasung Dong
MAP_MONKEY_DUNGEON2	Jungsun Dong
MAP_MONKEY_DUNGEON3	Sangsun Dong
MAP_MONKEY_DUNGEON_11	Hasung Dong
MAP_MONKEY_DUNGEON_12	Hasung Dong
MAP_MONKEY_DUNGEON_13	Hasung Dong
MAP_MT_THUNDER	Montagnes fulgurantes
MAP_MT_TH_DUNGEON_01	Temple Ochao
MAP_NUSLUCK	Terre des Ogres
MAP_NUSLUCK01	Terre des Ogres
MAP_N_DESERT_01	Désert de Yongbi
MAP_N_DESERT_02	
MAP_N_FLAME_01	Terre de Feu
MAP_N_FLAME_02	
MAP_N_FLAME_DRAGON	Repaire de Meley
MAP_N_FLAME_DUNGEON_01	Forteresse du dragon rouge
MAP_N_SNOWM_01	Mont Sohan
MAP_N_SNOWM_02	
MAP_N_SNOW_DUNGEON_01	Observatoire de Nemere
MAP_N_THREEWAY	Vallée de Seungryong
MAP_OTHER_WORLD_01	Rédemption
MAP_OTHER_WORLD_02	Autremonde
MAP_OTHER_WORLD_03	Chambre aux épreuves
MAP_OTHER_WORLD_04	Damnation
MAP_OXEVENT	OX-contest
MAP_PATHWAY_DESERT_01	Bataille des empires : Terre du Désert
MAP_PATHWAY_DESERT_02	Bataille des empires : Terre du Désert
MAP_PATHWAY_DESERT_03	Bataille des empires : Terre du Désert
MAP_PATHWAY_FLAME_01	Bataille des empires : Terre de Feu
MAP_PATHWAY_FLAME_02	Bataille des empires : Terre de Feu
MAP_PATHWAY_FLAME_03	Bataille des empires : Terre de Feu
MAP_PATHWAY_ICE_01	Bataille des empires : Terre Glaciaire
MAP_PATHWAY_ICE_02	Aire de jeux
MAP_PATHWAY_ICE_03	Bataille des empires : Terre Glaciaire
MAP_PRIVATE_SHOP_MAP	Bazar
MAP_SECRET_DUNGEON	Temple Énigma
MAP_SKELTOWER	Tour de Gumsan
MAP_SKIPIA_DUNGEON_01	Grotte de l'Exil
MAP_SKIPIA_DUNGEON_011	
MAP_SKIPIA_DUNGEON_012	
MAP_SKIPIA_DUNGEON_013	
MAP_SKIPIA_DUNGEON_02	Grotte de l'Exil 2
MAP_SKIPIA_DUNGEON_021	
MAP_SKIPIA_DUNGEON_022	
MAP_SKIPIA_DUNGEON_023	
MAP_SKIPIA_DUNGEON_BOSS	Temple du dragon
MAP_SKIPIA_DUNGEON_BOSS_1	Donjon des araignées 1
MAP_SKIPIA_DUNGEON_BOSS_2	Donjon des araignées 2
MAP_SKIPIA_DUNGEON_BOSS_3	Donjon des araignées 3
MAP_SNAKE_TEMPLE_1	1. Niveau du Temple du serpent
MAP_SNAKE_TEMPLE_2	Temple du serpent
MAP_SNAKE_VALLEY	Col de Yilad
MAP_SNOW	Mont Sohan
MAP_SPIDER	Kuahlo Dong
MAP_SPIDERDUNGEON	Donjon des araignées 1
MAP_SPIDERDUNGEON_02	Donjon des araignées 2
MAP_SPIDERDUNGEON_02_1	Donjon des araignées 2
MAP_SPIDERDUNGEON_03	Donjon des araignées 3
MAP_SUNGMAHEE_GATE_A1	Zone Yongan (invasion de SungMa)
MAP_SUNGMAHEE_GATE_B1	Zone Joan (invasion de SungMa)
MAP_SUNGMAHEE_GATE_C1	Zone Pyungmoo (invasion de SungMa)
MAP_SUNGMAHEE_GATE_DAWNMIST	Forêt enchantée (invasion de SungMa)
MAP_SUNGMAHEE_GATE_DESERT	Désert de Yongbi (invasion de SungMa)
MAP_SUNGMAHEE_GATE_DEVILS	Catacombes du diable (invasion de SungMa)
MAP_SUNGMAHEE_GATE_FLAME	Doyyumhwan (invasion de SungMa)
MAP_SUNGMAHEE_GATE_SNOW	Mont Sohan (invasion de SungMa)
MAP_SUNGMAHEE_GATE_THREEWAY	Vallée de Seungryong (invasion de SungMa)
MAP_SUNGMAHEE_TOWER_DUNGEON	Tour infernale de Sung Mahi
MAP_SUNGMAHEE_TOWER_WAIT	Hall d'entrée
MAP_SUNGZI	Bataille des empires
MAP_SUNGZI_DESERT_01	Bataille des empires : Terre du Désert
MAP_SUNGZI_DESERT_HILL_01	Bataille des empires : Terre du Désert
MAP_SUNGZI_DESERT_HILL_02	Bataille des empires : Terre du Désert
MAP_SUNGZI_DESERT_HILL_03	Bataille des empires : Terre du Désert
MAP_SUNGZI_FLAME_HILL_01	Bataille des empires : Terre de Feu
MAP_SUNGZI_FLAME_HILL_02	Bataille des empires : Terre de Feu
MAP_SUNGZI_FLAME_HILL_03	Bataille des empires : Terre de Feu
MAP_SUNGZI_SNOW	Bataille des empires : Terre Glaciaire
MAP_SUNGZI_SNOW_PASS01	Bataille des empires : Terre Glaciaire
MAP_SUNGZI_SNOW_PASS02	Bataille des empires : Terre Glaciaire
MAP_SUNGZI_SNOW_PASS03	Bataille des empires : Terre Glaciaire
MAP_T1	Terrain de guerre de guildes
MAP_T2	Terrain de guerre de guildes
MAP_T3	Terrain de guerre de guildes
MAP_T4	Terrain de guerre de guildes
MAP_TEMPLE	Temple de Hwang
MAP_THUNDER	Montagnes fulgurantes
MAP_TREE	Lungsam
MAP_TRENT	Bois enchanté
MAP_TRENT02	Bois Rouge
MAP_TRENT02_A	Bois Rouge
MAP_TRENT_A	
MAP_WEDDING_01	Carte de mariage
MAP_WHITE_DRAGON_CAVE_01	Citadelle d'Aquilon
MAP_WHITE_DRAGON_CAVE_02	Descente d'Aquilon
MAP_WHITE_DRAGON_CAVE_BOSS	Abysse d'Aquilon
MAP_WHITE_DRAGON_VALLEY	Gorge des âmes
MAP_WL	Grande Vallée
MAP_WL_01	Grande Vallée
MC_ACCUMULATION_COUNT	Cartes de monstre collectées : %d
MC_ACHIEV_NAME	%s (%d)
MC_ACHIEV_REGIST_ABLE	Vous remplissez les conditions pour l'exploit %s (%d étoiles).
MC_ACHIEV_REGIST_FAIL	Actuellement, vous ne pouvez pas revendiquer d'exploit.
MC_ACHIEV_REGIST_FAIL_CHECK_COUNT	Vous ne pouvez pas revendiquer l'exploit. Fermez cette fenêtre et réessayez.
MC_ACHIEV_REGIST_QUESTION_1	Souhaitez-vous revendiquer l'exploit %s ? Pour ce faire, vous avez besoin de %d cartes du monstre correspondants.
MC_ACHIEV_REGIST_QUESTION_2	Votre choix ne peut pas être annulé. Voulez-vous continuer ?
MC_ACHIEV_SHOW_APPLYS	Afficher le statut
MC_ACHIEV_SHOW_MONSTER	Afficher l'image
MC_ALTER_TEXT	Niveau de mission %d
MC_CARD_FALL_SHORT	Les cartes enregistrées sont insuffisantes.
MC_CARD_SHUFFLE	Voulez-vous redistribuer les cartes ?
MC_INIT_ITEM_FALL_SHORT	Il vous faut %d Carte(s) du nouveau départ.
MC_MISSION_FAIL_MSG	Aucune mission en cours ou limite atteinte.
MC_MISSION_INIT	Voulez-vous réinitialiser la mission au niveau 1 ?
MC_MISSION_NO_CLEAR	Vous devez d'abord compléter la mission.
MC_MOTION_BUTTON_OVER_MSG	Cette option sera disponible à partir de la 2e étoile.
MC_POLY_BUTTON_OVER_MSG	Cette option sera disponible à partir de la 3e étoile.
MC_POLY_FAIL	Vous ne pouvez pas vous transformer maintenant.
MC_POLY_QUESTION	Souhaitez-vous prendre la forme de ce monstre ?
MC_PROMOTION_MAX	Une amélioration n'est plus possible.
MC_PROMOTION_QUESTION	Voulez-vous passer au niveau suivant ?
MC_QUESTION_BUTTON_DESC1	Vous pouvez effectuer jusqu'à 6 réinitialisations en 24 heures.
MC_QUESTION_BUTTON_DESC2	Chaque nouvelle réinitialisation nécessite de nouvelles Cartes du nouveau départ.
MC_QUESTION_BUTTON_DESC3	Cliquez ici pour afficher le temps de rechargement restant.
MC_REWARD_FAIL	Il n'y a pas assez de place dans votre inventaire.
MC_REWARD_MISSION	Souhaitez-vous obtenir votre carte de monstre maintenant ?
MC_SHUFFLE_NO_ITEM	Vous n'avez aucune Carte du nouvel agencement.
MC_TIME	Temps de rechargement : %s
MC_TRADE_QUESTION	Cela vous coûte %d cartes. Voulez-vous continuer ?
MC_USE_ITEM_FAIL	Vous ne pouvez pas ajouter cette carte.
MC_USE_ITEM_QUESTION	Voulez-vous ajouter cette carte de monstre ?
MC_WARP_BUTTON_OVER_MSG	Cette option sera disponible à partir de la 4e étoile.
MC_WARP_FAIL	Vous ne pouvez plus vous téléporter.
MC_WARP_LIMIT_LEVEL	Votre niveau actuel est insuffisant pour vous téléporter.
MC_WARP_QUESTION	Se téléporter dans la zone de ce monstre ?
MD_POPUP_MSG_1	Vous pouvez uniquement y entrer à partir du Temple du zodiaque.
MD_POPUP_MSG_2	Les gardiens du zodiaque doivent régénérer leur force.\nAttendez quelques instants.
MD_SYSTEM_MSG_1	Vous n'êtes pas un zombie. Vous ne pouvez pas combattre en étant mort.
MEDAL_OF_HONOR	Médaille de bravoure
MEDAL_OF_HONOR_SYSTEM_PICK	Objet reçu : médaille de bravoure x%d
MERCENARY_ADD_REWARD	Prob. réc. supp. +%.1f%%
MERCENARY_CHAT_AUTO_DISPATCH_FAIL	Vous n'avez aucun mercenaire qui puisse se charger de cette mission.
MERCENARY_CHAT_DISPATCH	Destination : %s
MERCENARY_CHAT_DISPATCH_JOIN_WARNING	Vous avez choisi un mercenaire non qualifié.
MERCENARY_CHAT_DISPATCH_MAX_COUNT	Vous avez sélectionné trop de mercenaires.
MERCENARY_CHAT_DISPATCH_NOT_ENOUGHT_ACTIVE	Votre endurance n'est pas suffisante.
MERCENARY_CHAT_DISPATCH_SELECT_MERCENARY	Vous devez sélectionner un mercenaire.
MERCENARY_CHAT_DISPATCH_SELECT_MISSION	Aucune mission n'a été sélectionnée.
MERCENARY_CHAT_DONT_CLEAR_QUEST	Vous ne remplissez pas les conditions pour pouvoir mener cette quête.
MERCENARY_CHAT_DRAIN_MAIN_EXP_MERCENARY	Ce mercenaire peut uniquement être utilisé pour entraîner les autres.
MERCENARY_CHAT_DRAIN_MAX_LEVEL	Ce mercenaire a déjà atteint le niveau maximum.
MERCENARY_CHAT_DRAIN_MERCENARY_REGISTER	Choisissez le mercenaire que vous souhaitez entraîner et celui qui sera chargé de son entraînement.
MERCENARY_CHAT_DRAIN_NEED_MAIN	Choisir le mercenaire à entraîner
MERCENARY_CHAT_DRAIN_SUB_MAX_COUNT	Vous pouvez inscrire jusqu'à 10 mercenaires.
MERCENARY_CHAT_EXIST_COMPLETE_MISSION	[Mercenaire] Vous avez d'autres missions achevées.
MERCENARY_CHAT_GIVEUP	%s missions annulées
MERCENARY_CHAT_MAIN_DRAIN_MERCENARY_WARNING	L'un des mercenaires choisis est blessé.
MERCENARY_CHAT_MAX_ACTIVE_INCREASE_FOR_LEVELUP	Votre endurance a été augmentée puisque vous êtes grimpé d'un niveau de champion.
MERCENARY_CHAT_MAX_EXPAND_SLOT	Vous possédez déjà le nombre maximal d'emplacements.
MERCENARY_CHAT_MAX_MERCENARY_EMPLOY	Vous ne pouvez pas engager plus de mercenaires.
MERCENARY_CHAT_MAX_YANG	Vous ne pouvez pas voir les résultats quand vous possédez plus de 2 milliards de Yangs.
MERCENARY_CHAT_MERCENARY_ADD_DONE	%s a été recruté.
MERCENARY_CHAT_MERCENARY_CURE_DONE	%s a été guéri.
MERCENARY_CHAT_MERCENARY_DRAIN_DONE	%s a atteint le niveau %d.
MERCENARY_CHAT_MERCENARY_FIRE_DONE	%s a été renvoyé.
MERCENARY_CHAT_MERCENARY_NO_MORE_REGIST	Vous ne pouvez pas entraîner plus de mercenaires.
MERCENARY_CHAT_MERCENARY_SKILL_ADD_DONE	Vous avez recruté %s avec la compétence : %s.
MERCENARY_CHAT_MERCENARY_SLOT_EXPAND	Le nombre d'emplacements de mercenaires a été augmenté.
MERCENARY_CHAT_MISSION_ACTIVE_GAIN	Vous avez reçu de l'endurance : %d. Endurance totale : %d
MERCENARY_CHAT_MISSION_COMPLETE_NOTICE	[Mercenaire] Vous avez d'autres missions achevées.
MERCENARY_CHAT_MISSION_REFRESH_FAIL_STATE_COMPLETE	Vous ne pouvez pas le faire parce que vous avez des missions achevées.
MERCENARY_CHAT_MISSION_REFRESH_FAIL_STATE_RUN	Vous ne pouvez pas le faire parce que vous avez des mercenaires en mission.
MERCENARY_CHAT_NOT_ENOUGHT_CONQUEROR_LEVEL	Ceci n'est disponible que pour les joueurs de niveau champion.
MERCENARY_CHAT_NOT_ENOUGHT_EXPAND_ITEM	Il vous faut %d licences d'extension.
MERCENARY_CHAT_NOT_ENOUGHT_INVENTORY	Votre inventaire est plein.
MERCENARY_CHAT_NOT_ENOUGHT_YANG	Il vous manque %s Yangs.
MERCENARY_CHAT_OVER_MAX_ACTIVE	Vous ne pouvez pas l'utiliser, car vous possédez déjà l'endurance maximale.
MERCENARY_CHAT_SPECIFICITY_GAIN	Vous avez reçu %s %s.
MERCENARY_CHAT_SUB_DRAIN_MERCENARY_WARNING	Vous avez sélectionné un mercenaire en mission ou blessé.
MERCENARY_CHAT_TIME_CURE_START	Démarrez la guérison avec %s.
MERCENARY_CONQUEROR_EXP_BONUS	EXP de champion : %.1f%%
MERCENARY_CURE_ALREADY	Ce mercenaire est déjà en voie de guérison.
MERCENARY_CURE_DELAY_ASK	Voulez-vous guérir %s lentement ?
MERCENARY_CURE_DELAY_NEED_ITEM	Vous disposez d'une guérison de mercenaire lente.
MERCENARY_CURE_DONE	Ce mercenaire a déjà été guéri.
MERCENARY_CURE_IMMEDIATELY_ASK	Voulez-vous guérir %s directement ?
MERCENARY_CURE_IMMEDIATELY_NEED_ITEM	Il vous faut une guérison de mercenaire directe.
MERCENARY_CURE_NOT_INJURY	Ce mercenaire n'est pas blessé.
MERCENARY_CURE_WILL_DONE	Vous ne pouvez soigner un mercenaire déjà en voie de guérison lente.
MERCENARY_DECREASE_INJURY_PCT	Risque de blessure : %.1f%%
MERCENARY_DECREASE_TIME	Durée de la mission : %.1f%%
MERCENARY_EXP	Points d'expérience du mercenaire :
MERCENARY_EXP_MAX	Maximum
MERCENARY_FIRA_DISPATCH	Vous ne pouvez pas renvoyer de mercenaire en mission.
MERCENARY_FIRE_ASK	Souhaitez-vous renvoyer %s ? Vous ne pouvez plus engager de mercenaires renvoyés.
MERCENARY_INCREASE_SUCCESS_PCT	Chances de réussite +%.1f%%
MERCENARY_INJURY_DANGER_BENEFITS	Risque de blessure +%.1f%%
MERCENARY_LEVEL	Niveau : %d
MERCENARY_LOCK_SLOT_INFO	Une licence d'extension vous permet d'avoir plus de cases pour mercenaires.
MERCENARY_MISSION	Mission
MERCENARY_MISSION_BUTTON_GIVEUP	Abandonner
MERCENARY_MISSION_BUTTON_RESULT	Résultat
MERCENARY_MISSION_BUTTON_START	Commencer la mission
MERCENARY_MISSION_MAP_DAWNMIST	Forêt enchantée
MERCENARY_MISSION_MAP_DESERT	Désert de Yongbi
MERCENARY_MISSION_MAP_DEVILCATACOMB	Catacombes du diable
MERCENARY_MISSION_MAP_DEVILTOWER	Tour des démons
MERCENARY_MISSION_MAP_EASTPLAIN	Niveau Dongan
MERCENARY_MISSION_MAP_FLAME	Repaire de Meley
MERCENARY_MISSION_MAP_MAZE	Grottes gnolles
MERCENARY_MISSION_MAP_MILLGYO	Temple de Hwang
MERCENARY_MISSION_MAP_NONE	Aucun
MERCENARY_MISSION_MAP_SKIPIA	Grotte de l'exil
MERCENARY_MISSION_MAP_SNAKETEMPLE	Temple du Serpent
MERCENARY_MISSION_MAP_SNAKEVALLEY	Col de Yilad
MERCENARY_MISSION_MAP_SNOW	Observatoire de Nemere
MERCENARY_MISSION_MAP_SPIDER	Kuahlo Dong (Donjon des Araignées)
MERCENARY_MISSION_MAP_THREE	Vallée de Seungryong
MERCENARY_MISSION_MAP_WHITECAVE	Citadelle d'Aquilon
MERCENARY_MISSION_NAME_PUNITIVE_DESTROY	Destruction
MERCENARY_MISSION_NAME_PUNITIVE_EXPLORE	Exploration
MERCENARY_MISSION_NAME_PUNITIVE_LOW	Soumission (facile)
MERCENARY_MISSION_NAME_PUNITIVE_NONE	Aucune
MERCENARY_MISSION_NAME_PUNITIVE_UPPER	Soumission (difficile)
MERCENARY_MISSION_REFRESH_FAIL_MERCENARY	Aucune mise à jour possible quand aucune mercenaire n'est disponible.
MERCENARY_MISSION_STATE_COMPLETE_1	%s%s terminée.
MERCENARY_MISSION_STATE_COMPLETE_2	Choisissez « Résultats »
MERCENARY_MISSION_STATE_END	Mission terminée
MERCENARY_MISSION_STATE_GIVEUP	Une mission abandonnée ne peut plus être retentée.
MERCENARY_MISSION_STATE_NONE	Vous pouvez commencer la mission.
MERCENARY_MISSION_STATE_RUN	%s %s est en cours.
MERCENARY_NAME_COLLECTOR	Collectionneur
MERCENARY_NAME_EXP	Instructeur
MERCENARY_NAME_LUCKY	Chanceux
MERCENARY_NAME_NIMBLE	Habile
MERCENARY_NAME_NORMAL	Ordinaire
MERCENARY_NAME_STRONG	Costaud
MERCENARY_NAME_TRAINED	Expérimenté
MERCENARY_NONE	Aucune
MERCENARY_POPUP_DISPATCH_DONT_USING_ITEM	Voulez-vous lancer la mission sans diminuer l'endurance requise ?
MERCENARY_POPUP_DISPATCH_START	Voulez-vous lancer la mission ?
MERCENARY_POPUP_DISPATCH_USING_ITEM	Voulez-vous diminuer l'endurance requise pour cette mission ?
MERCENARY_POPUP_DRAIN_ASK	Le mercenaire-entraîneur vous quittera. Voulez-vous continuer ?
MERCENARY_POPUP_DRAIN_ASK_EXP	L'expérience du mercenaire-entraîneur sera perdue. Voulez-vous continuer ?
MERCENARY_POPUP_DRAIN_DEL_LEFT_EXP	L'expérience restante sera perdue.
MERCENARY_POPUP_DRAIN_NEED_SUB	Choisissez le mercenaire-entraîneur.
MERCENARY_POPUP_DRAIN_SUB_LEVEL_WARNING	Vous avez sélectionné un mercenaire avec un niveau élevé. Voulez-vous continuer ?
MERCENARY_POPUP_EMPLOY_ASK_1	Voulez-vous engager un mercenaire ?
MERCENARY_POPUP_EMPLOY_ASK_2	Il vous fait une licence pour mercenaire et %s Yangs.
MERCENARY_POPUP_EXPAND_SLOT_QUESTION	Voulez-vous augmenter vos cases pour mercenaires ? Il vous faut : %d.
MERCENARY_POPUP_MISSION_FAIL	La mission (%s) a échoué !
MERCENARY_POPUP_MISSION_GIVEUP_1	Voulez-vous abandonner la mission ?
MERCENARY_POPUP_MISSION_GIVEUP_2	Une mission abandonnée ne peut plus être retentée.
MERCENARY_POPUP_MISSION_MERCENARY_INJURE	Un mercenaire est blessé.
MERCENARY_POPUP_MISSION_REFRESH	Toutes les missions seront actualisées. Voulez-vous continuer ?
MERCENARY_POPUP_MISSION_RESULT	Voulez-vous voir le résultat de la mission accomplie ?
MERCENARY_POPUP_MISSION_RESULT_DONT_USING_ITEM	Voulez-vous voir les résultats sans utiliser l'essence du commandant ?
MERCENARY_POPUP_MISSION_RESULT_USING_ITEM	Voulez-vous utiliser l'essence du commandant pour recevoir des récompenses supplémentaires ?\nElle disparaîtra si vos mercenaires ne réussissent pas la mission.
MERCENARY_POPUP_MISSION_REWARD_EXP	Vous avez gagné de l'EXP de champion : %d
MERCENARY_POPUP_MISSION_REWARD_YANG	Vous avez reçu %s Yangs.
MERCENARY_POPUP_MISSION_SUCCESS	Mission accomplie (%s) !
MERCENARY_POPUP_MISSION_USE_ITEM	Grâce à l'essence du commandant, vous avez reçu une récompense supplémentaire.
MERCENARY_SKILL	Compétences : %s
MERCENARY_SKILL_CONQUEROR_EXP_BONUS	EXP de champion en plus
MERCENARY_SKILL_DECREASE_INJURY_PCT	Elle diminue les risques de blessures.
MERCENARY_SKILL_DECREASE_TIME	Elle diminue la durée de la mission.
MERCENARY_SKILL_INCREASE_SUCCESS_PCT	Elle augmente les chances de réussite.
MERCENARY_SKILL_INJURY_DANGER_BENEFITS	Avantage risquant
MERCENARY_SKILL_UNIQUE	Unique
MERCENARY_SPECIFICITY	Spécialisation : %s
MERCENARY_SPECIFICITY_COLLECTOR	Ramasseur
MERCENARY_SPECIFICITY_EXPLAIN_GAIN	Votre mercenaire a 50%% de probabilité d'obtenir une spécialisation quand il atteint le niveau %d.
MERCENARY_SPECIFICITY_EXPLAIN_UP	Une fois le niveau %d atteint, vous avez 50%% de chances de recevoir : %s.
MERCENARY_SPECIFICITY_FIGHTER	Combattant
MERCENARY_SPECIFICITY_GRADE_LOWER	(facile)
MERCENARY_SPECIFICITY_GRADE_MIDDLE	(moyen)
MERCENARY_SPECIFICITY_GRADE_UPPER	(élevé)
MERCENARY_SPECIFICITY_LUCKY	Veinard
MERCENARY_SPECIFICITY_NONE	Aucune
MERCENARY_SPECIFICITY_RESCUE	Sauveteur
MERCENARY_SPECIFICITY_SPY	Éclaireur
MERCENARY_TOOLTIP_CLOSE	Fermer
MERCENARY_TOOLTIP_DISPATCH	Envoyé
MERCENARY_TOOLTIP_INJURE	Blessure
MERCENARY_TOOLTIP_MANAGE	Gérer les mercenaires
MERCENARY_TOOLTIP_MISSION	Liste des missions
